feature_set,model,n_features,n,mae,rmse,r2,bias,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std,fold_r2_mean,fold_r2_std
aux,knn,159,72,4.175807358571471,5.059418329529244,0.3465336380754621,-0.03406400219887942,4.189562700285855,0.46860335511892487,5.054657686855108,0.41865146006510967,0.3395017322489811,0.09493982044314184
aux,random_forest,159,72,3.8753367891638906,4.632744457282577,0.4521032210666154,-0.015828070173876736,3.8793405864972064,0.35497457743274324,4.622574868511717,0.44917373237857927,0.44907722647539516,0.07719636503963866
aux,extra_trees,159,72,3.7331344994716216,4.5361340971378326,0.4747164187023185,0.11886096859998228,3.7272746661107012,0.28028327352284577,4.524643390865459,0.32127291587544626,0.4730047795433894,0.0507895569618917
aux,gradient_boosting,159,72,3.8330449751586237,4.553888056714192,0.47059656091116964,-0.019602512877175196,3.8424313124478546,0.3951829644298585,4.527991177593292,0.6045904040101049,0.4614625793447088,0.14016450152834561
aux,hist_gradient_boosting,159,72,3.845045149023416,4.575643627819966,0.4655261746435069,-0.07982656792001525,3.8473626631086324,0.3343066338693775,4.566664080671517,0.3558035924903963,0.46045472040162994,0.07945511700489452
aux,adaboost,159,72,3.9005801754461893,4.585923745026134,0.463121867743173,-0.1108815443946239,3.906096322619846,0.31908891193552014,4.581034299310085,0.37586738163905736,0.4582102541000069,0.07288887901162198
combined,mean,1088,72,5.28465606352651,6.26675450663813,-0.0025531849439668353,-0.0010387576811491507,5.286758013238376,0.34413604563211375,6.260243342937577,0.3159617267555009,-0.006740431103378431,0.006243140935729595
combined,median,1088,72,5.28194178475274,6.27311205836227,-0.004588374542843887,0.23088788986206055,5.284326311747233,0.37198812728353886,6.2657689902824005,0.3385658089180421,-0.008232914565574623,0.013073200019811253
combined,linear,1088,72,5.112033402376245,6.579611274935578,-0.10515331129727934,0.46774629271089335,5.114311205308816,0.5508246036561102,6.527546581230676,0.9392286602644973,-0.1267808856957581,0.381563094443778
combined,ridge_cv,1088,72,4.261327517536777,5.399433409536172,0.25575069823350527,0.4618994173680492,4.27603389263497,0.6443187497408974,5.335146560434824,0.9811804588368274,0.2451801543222764,0.2749486673999329
