feature_set,model,feature,importance_kind,mean_abs_importance,std_abs_importance,n_folds
aux,elasticnet_cv,extra__tips_max_diameter,coefficient,0.12466235732322442,0.1170608077964378,5
aux,elasticnet_cv,extra__tips_mean_curvature,coefficient,0.12021459832476558,0.15918701767105678,5
aux,elasticnet_cv,extra__sv_tortuosity,coefficient,0.11031783641369189,0.07941623804547475,5
aux,elasticnet_cv,extra__pgv_mean_curvature,coefficient,0.10727979096366991,0.13195583097770577,5
aux,elasticnet_cv,extra__lpv_mean_area,coefficient,0.10490816749372504,0.0824479558485609,5
aux,elasticnet_cv,extra__mpv_length,coefficient,0.10223788275387868,0.0899727965911909,5
aux,elasticnet_cv,aux__mpv_trunk_length_mm,coefficient,0.10222837064769696,0.08996552335968219,5
aux,elasticnet_cv,extra__inflow_resistance_asymmetry,coefficient,0.09759085176144211,0.11952427561809531,5
aux,elasticnet_cv,aux__angle_lpv_rpv,coefficient,0.09742871315554695,0.08026109109632637,5
aux,elasticnet_cv,aux__branchpoint_density_per_cm,coefficient,0.09641305823619259,0.13979276376566693,5
aux,elasticnet_cv,extra__smv_resistance_integral,coefficient,0.08830992019919726,0.10550896186892286,5
aux,elasticnet_cv,extra__smv_max_curvature,coefficient,0.08682564127054801,0.12347375612993584,5
aux,elasticnet_cv,extra__rpv_resistance_integral,coefficient,0.08295784767821848,0.12832616623666523,5
aux,elasticnet_cv,extra__rpv_area_cv,coefficient,0.08259179133891942,0.14871657835447089,5
aux,elasticnet_cv,aux__angle_mpv_rpv__present,coefficient,0.08003432541871347,0.04241234050435172,5
aux,elasticnet_cv,aux__mpv_bifurc_planarity_deg__present,coefficient,0.08003173163486008,0.04239513589980665,5
aux,elasticnet_cv,aux__angle_mpv_bifurc_total__present,coefficient,0.08002291712542121,0.042393958786385834,5
aux,elasticnet_cv,aux__angle_lpv_rpv__present,coefficient,0.08002261755357147,0.04239991018445167,5
aux,elasticnet_cv,extra__smv_mean_circularity,coefficient,0.07929595408664433,0.07563965075051085,5
aux,elasticnet_cv,extra__mpv_mean_area,coefficient,0.07912874129230471,0.07872563976613738,5
aux,elasticnet_cv,extra__tips_mean_circularity,coefficient,0.07785024778703051,0.06414514982592899,5
aux,elasticnet_cv,extra__mpv_mean_curvature,coefficient,0.07772458739088875,0.096220567919494,5
aux,elasticnet_cv,extra__tips_inflow_resistance_ratio,coefficient,0.07688423519128722,0.07750639019349628,5
aux,elasticnet_cv,extra__pgv_mean_area,coefficient,0.07672284488266035,0.039069311928608214,5
aux,elasticnet_cv,aux__angle_mpv_lpv,coefficient,0.07638275883420148,0.07830726101648798,5
aux,elasticnet_cv,aux__sv_max_to_mpv_max_diam_ratio,coefficient,0.07373274562994336,0.08714178582375623,5
aux,elasticnet_cv,extra__mpv_max_diameter,coefficient,0.07023730424963058,0.08769147053681114,5
aux,elasticnet_cv,aux__mpv_min_max_diameter_ratio,coefficient,0.06714124055100493,0.046387839851894125,5
aux,elasticnet_cv,aux__min_lumen_area_to_max_ratio_mpv,coefficient,0.06629605514854046,0.04563520995281723,5
aux,elasticnet_cv,extra__lgv_area_cv,coefficient,0.06529711035216776,0.07351487907326522,5
aux,elasticnet_cv,extra__mpv_resistance_integral,coefficient,0.06455454952748928,0.12910909905497855,5
aux,elasticnet_cv,extra__lpv_mean_circularity,coefficient,0.06425741858869316,0.08089204604436968,5
aux,elasticnet_cv,extra__smv_area_cv,coefficient,0.06346343363743216,0.102712765915509,5
aux,elasticnet_cv,extra__rpv_mean_circularity,coefficient,0.06304714120163306,0.11279007024162654,5
aux,elasticnet_cv,extra__sv_mean_curvature,coefficient,0.05849764811973244,0.11112071097133844,5
aux,elasticnet_cv,extra__rpv_length,coefficient,0.056283706667970515,0.07878205369927917,5
aux,elasticnet_cv,aux__spleen_volume_ml__present,coefficient,0.056086717516567394,0.05945738469274905,5
aux,elasticnet_cv,aux__spleen_liver_ratio__present,coefficient,0.05608621030733335,0.05945711513047451,5
aux,elasticnet_cv,extra__rpv_max_diameter,coefficient,0.05359565686293601,0.05173978213684338,5
aux,elasticnet_cv,extra__lpv_rpv_diameter_asymmetry,coefficient,0.05215126440622579,0.06390400302158077,5
aux,elasticnet_cv,extra__lpv_area_cv,coefficient,0.05114185619804954,0.0666680111890812,5
aux,elasticnet_cv,extra__tips_max_curvature,coefficient,0.049252451580922334,0.04786617847019872,5
aux,elasticnet_cv,extra__lgv_tortuosity,coefficient,0.049247054529780385,0.06747554962664518,5
aux,elasticnet_cv,extra__pgv_mpv_diameter_ratio,coefficient,0.048861230960080534,0.059925304783472653,5
aux,elasticnet_cv,extra__inflow_parallel_resistance,coefficient,0.048340571492147696,0.057012395309529666,5
aux,elasticnet_cv,extra__sv_mean_circularity,coefficient,0.04483917006340454,0.050923246269029915,5
aux,elasticnet_cv,extra__tree_area_conservation_mean_dev,coefficient,0.04208392104099186,0.055175882553413894,5
aux,elasticnet_cv,extra__smv_mpv_diameter_ratio,coefficient,0.04150064243020498,0.04450815732841149,5
aux,elasticnet_cv,extra__tips_resistance_integral,coefficient,0.040950647648902896,0.06322820456709899,5
aux,elasticnet_cv,extra__confluence_murray3_deviation,coefficient,0.03788960373125302,0.05595286022252675,5
aux,elasticnet_cv,extra__diameter_weighted_tortuosity,coefficient,0.035249227183278956,0.03968650437202244,5
aux,elasticnet_cv,extra__lgv_mean_curvature,coefficient,0.034149542293637355,0.041564814174643507,5
aux,elasticnet_cv,extra__smv_mean_curvature,coefficient,0.03369190046334038,0.04409764699923835,5
aux,elasticnet_cv,aux__splenic_dominance_index__present,coefficient,0.03333593385133114,0.04211672962773007,5
aux,elasticnet_cv,extra__pgv_mean_circularity,coefficient,0.0329889386299931,0.040415905884212,5
aux,elasticnet_cv,aux__mpv_bifurc_planarity_deg,coefficient,0.0324697593771256,0.04302855631722267,5
aux,elasticnet_cv,aux__angle_sv_smv,coefficient,0.0316333752570916,0.042936529879918174,5
aux,elasticnet_cv,extra__smv_mean_diameter,coefficient,0.03074896366797642,0.038895993800108046,5
