epoch,phase,total,main,murray,press,smooth,physio,mono,spread,mae,rmse,r2
46,train,0.30519,0.24624,0.01758,0.00001,0.01565,0.00057,0.00000,0.00554,2.1434,3.2276,0.7956
46,val,0.37332,0.33062,0.00940,0.00000,0.00932,0.00074,0.00000,0.00000,2.8258,3.6506,0.7023
47,train,0.22304,0.17218,0.02247,0.00007,0.01850,0.00056,0.00000,0.00347,1.5622,2.0143,0.9286
47,val,0.42283,0.38400,0.00473,0.00000,0.00932,0.00074,0.00000,0.00000,3.0128,3.8343,0.6716
48,train,0.24954,0.19591,0.01457,0.00002,0.01289,0.00060,0.00000,0.02101,1.3516,1.8223,0.9524
48,val,0.52983,0.48860,0.00628,0.00000,0.00932,0.00074,0.00000,0.00000,3.3326,4.2110,0.6039
49,train,0.16647,0.11495,0.01309,0.00004,0.01206,0.00053,0.00000,0.00663,1.1669,1.5653,0.9568
49,val,0.52848,0.48413,0.01072,0.00000,0.00932,0.00074,0.00000,0.00000,3.4033,4.2334,0.5997
50,train,0.17094,0.12569,0.01418,0.00003,0.01605,0.00047,0.00000,0.00212,1.5734,2.0864,0.9160
50,val,0.36811,0.33199,0.01011,0.00000,0.00932,0.00074,0.00000,0.00000,2.7070,3.5979,0.7109
51,train,0.34957,0.27146,0.02042,0.00006,0.01257,0.00064,0.00000,0.07249,1.6358,2.3282,0.9059
51,val,0.36017,0.32346,0.01414,0.00000,0.00932,0.00073,0.00000,0.00000,2.6352,3.4971,0.7269
52,train,0.17928,0.12572,0.01703,0.00003,0.01558,0.00066,0.00000,0.02162,1.3918,1.7570,0.9436
52,val,0.57244,0.52969,0.01097,0.00000,0.00932,0.00073,0.00000,0.00000,3.3659,4.1915,0.6076
53,train,0.25131,0.18889,0.01182,0.00005,0.01506,0.00075,0.00000,0.01100,1.7535,2.4111,0.8772
53,val,0.67304,0.63033,0.00940,0.00000,0.00932,0.00073,0.00000,0.00000,3.6820,4.4782,0.5521
54,train,0.18732,0.14696,0.01069,0.00003,0.01572,0.00056,0.00000,0.00011,1.4832,2.0955,0.9157
54,val,0.56969,0.53327,0.00689,0.00000,0.00932,0.00074,0.00000,0.00000,3.2355,4.1181,0.6212
55,train,0.25835,0.20010,0.01187,0.00000,0.01988,0.00075,0.00000,0.02112,1.6419,2.1729,0.9068
55,val,0.60728,0.57087,0.00790,0.00000,0.00932,0.00075,0.00000,0.00000,3.4026,4.3059,0.5859
56,train,0.28516,0.21951,0.01617,0.00003,0.01554,0.00061,0.00000,0.04330,1.5539,2.1445,0.9176
56,val,0.65290,0.61153,0.00694,0.00000,0.00932,0.00075,0.00000,0.00000,3.8296,4.5240,0.5429
57,train,0.23412,0.17281,0.01270,0.00004,0.01624,0.00065,0.00000,0.00469,1.5511,2.0622,0.9297
57,val,0.47326,0.43049,0.00922,0.00000,0.00932,0.00075,0.00000,0.00000,3.2890,4.0437,0.6348
58,train,0.16904,0.11893,0.01532,0.00001,0.01729,0.00077,0.00000,0.00012,1.4484,1.8676,0.9311
58,val,0.35921,0.31733,0.00979,0.00000,0.00932,0.00075,0.00000,0.00000,2.7544,3.6735,0.6986
59,train,0.20816,0.15768,0.01269,0.00002,0.01174,0.00059,0.00000,0.00000,1.2560,1.7469,0.9543
59,val,0.36536,0.33088,0.01140,0.00000,0.00932,0.00075,0.00000,0.00000,2.7564,3.5583,0.7172
60,train,0.21145,0.16634,0.00791,0.00001,0.01202,0.00051,0.00000,0.00631,1.6348,2.2335,0.9221
60,val,0.35111,0.31320,0.01139,0.00000,0.00932,0.00074,0.00000,0.00000,2.5838,3.4898,0.7280
61,train,0.25293,0.20009,0.01153,0.00003,0.01484,0.00064,0.00000,0.00165,1.8729,2.7344,0.8467
61,val,0.47492,0.43384,0.01233,0.00000,0.00932,0.00074,0.00000,0.00000,3.1189,3.9306,0.6549
62,train,0.31698,0.24744,0.00915,0.00001,0.01891,0.00078,0.00000,0.04522,1.7903,2.4400,0.8786
62,val,0.61614,0.57706,0.01231,0.00000,0.00932,0.00075,0.00000,0.00000,3.5492,4.3998,0.5676
